title,genre,director,writer,stars,IMDb rating,IMDb description,duration,content rating,year,month
"""Star Trek: Deep Space Nine"" Soldiers of the Empire (TV Episode 1997) - IMDb","['Action', 'Adventure', 'Drama']",['LeVar Burton'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Michael Dorn']",0.7999999999999999,Dax and Worf accompany Martok on his first command since being held by the Dominion. But the ship they are given hasn&apos;t seen victory in months and the crew is near mutinous.,0.44761904761904764,0,1997,4
"""Star Trek: Voyager"" Cold Fire (TV Episode 1995) - IMDb","['Action', 'Adventure', 'Drama']",['Cliff Bole'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Kate Mulgrew', 'Robert Beltran', 'Roxann Dawson']",0.7368421052631579,"The Caretaker&apos;s remains resonate, which might well mean that its mate is nearby. The trail leads to a space colony of Ocampa with psychokinetic powers.",0.4380952380952381,0,1995,11
"""Star Trek: Deep Space Nine"" Armageddon Game (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Alexander Siddig']",0.7789473684210527,"Chief O&apos;Brien, who still doesn&apos;t particularly like Doctor Bashir, must rely on him when the two are stranded on a planet and O&apos;Brien is infected with a deadly, fast moving disease.",0.4380952380952381,0,1996,4
"""Star Trek: The Next Generation"" All Good Things... (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Ronald D. Moore', 'Brannon Braga']","['Patrick Stewart', 'Jonathan Frakes', 'LeVar Burton']",0.9578947368421052,"Capt. Picard finds himself shifting continually into the past, future and present and must use that to discover a threat to humanity&apos;s existence.",1.0,0,1994,5
"""The Twilight Zone"" A Hundred Yards Over the Rim (TV Episode 1961) - IMDb","['Drama', 'Fantasy', 'Horror']",['Buzz Kulik'],['Rod Serling'],"['Cliff Robertson', 'John Crawford', 'Evans Evans']",0.8526315789473684,The leader of a wagon train across the New Mexico territory in 1847 comes across a highway.,0.23809523809523808,0,1961,4
"""Star Trek: Deep Space Nine"" Blood Oath (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Alexander Siddig']",0.8210526315789474,Three legendary Klingons come to DS9 to see if Jadzia will participate in a blood oath that they made with Dax&apos;s previous host Curzon.,0.4380952380952381,0,1996,6
"""Star Trek: The Next Generation"" Preemptive Strike (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Patrick Stewart'],"['Gene Roddenberry', 'René Echevarria', 'Naren Shankar']","['Patrick Stewart', 'Jonathan Frakes', 'LeVar Burton']",0.8315789473684211,"Following her return from Advanced Tactical Training, Bajoran Ro Laren is sent to infiltrate the Maquis and finds herself torn between her loyalty to Picard and Starfleet, and her sympathy with the Maquis fighting &quot;the good fight&quot;.",0.42857142857142855,0,1994,5
"""Star Trek"" The Squire of Gothos (TV Episode 1967) - IMDb","['Action', 'Adventure', 'Sci-Fi']",['Don McDougall'],"['Paul Schneider', 'Gene Roddenberry']","['William Shatner', 'Leonard Nimoy', 'William Campbell']",0.7578947368421053,A being that controls matter and creates planets wants to play with the Enterprise crew.,0.47619047619047616,0,1967,1
"""Star Trek: Deep Space Nine"" Shattered Mirror (TV Episode 1996) - IMDb","['Action', 'Adventure', 'Drama']",['James L. Conway'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Michael Dorn']",0.7473684210526316,"When the Mirror Universe counterpart of Sisko&apos;s deceased wife lures Jake to the other side, Sisko must follow and help the Terran resistance against the Alliance forces.",0.4380952380952381,0,1996,4
"""Star Trek"" The City on the Edge of Forever (TV Episode 1967) - IMDb","['Action', 'Adventure', 'Sci-Fi']",['Joseph Pevney'],"['Harlan Ellison', 'Gene Roddenberry']","['William Shatner', 'Leonard Nimoy', 'Joan Collins']",0.9684210526315788,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high.",0.47619047619047616,0,1967,4
"""The Twilight Zone"" The Trade-Ins (TV Episode 1962) - IMDb","['Drama', 'Fantasy', 'Horror']",['Elliot Silverstein'],['Rod Serling'],"['Joseph Schildkraut', 'Noah Keen', 'Alma Platt']",0.7999999999999999,Elderly long-married John and Marie Holt visit the New Life Corporation to shop for a pair of younger replacement bodies. But then John resorts to desperate measures in order to cover the immense cost of this purchase.,0.23809523809523808,0,1962,4
"""Star Trek"" The Menagerie: Part II (TV Episode 1966) - IMDb","['Action', 'Adventure', 'Sci-Fi']","['Robert Butler', 'Marc Daniels']","['Gene Roddenberry', 'John D.F. Black']","['William Shatner', 'Leonard Nimoy', 'Jeffrey Hunter']",0.8526315789473684,"At Spock&apos;s court martial, he explains himself with mysterious footage about when Capt. Pike was kidnapped by powerful illusion casting aliens.",0.47619047619047616,0,1966,11
"""Futurama"" The Route of All Evil (TV Episode 2002) - IMDb","['Animation', 'Adventure', 'Comedy']",['Brian Sheesley'],"['Matt Groening', 'David X. Cohen', 'Dan Vebber']","['Billy West', 'Katey Sagal', 'John DiMaggio']",0.7684210526315789,"Prof. Farnsworth&apos;s and Hermes&apos; 12 year old sons combine forces to take over Planet Express, but their ambition is more than their ability and they need their fathers&apos; help to save the day.",0.21904761904761905,1,2002,12
"""Star Trek: The Next Generation"" Code of Honor (TV Episode 1987) - IMDb","['Action', 'Adventure', 'Drama']","['Russ Mayberry', 'Les Landau']","['Gene Roddenberry', 'Katharyn Powers', 'Michael Baron']","['Patrick Stewart', 'Jonathan Frakes', 'LeVar Burton']",0.5368421052631579,"When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death.",0.4380952380952381,0,1992,6
"""The Twilight Zone"" Black Leather Jackets (TV Episode 1964) - IMDb","['Drama', 'Fantasy', 'Horror']",['Joseph M. Newman'],"['Earl Hamner Jr.', 'Rod Serling']","['Lee Kinsolving', 'Shelley Fabares', 'Michael Forest']",0.6736842105263158,"Leather-jacket-wearing, motorcycle-riding male aliens Scott, Steve, and Fred invade a peaceful neighborhood, where Scott develops a romance with teenage neighbor Ellen Tillman and upsets both his two comrades and Ellen&apos;s father Stu.",0.23809523809523808,0,1964,1
