label,collections,title,genre,director,writer,stars,IMDb rating,IMDb description,air date,duration,content rating,url
Soldiers_of_the_Empire_st_dsn.txt,Collection: tvseries: Star Trek: Deep Space Nine,"""Star Trek: Deep Space Nine"" Soldiers of the Empire (TV Episode 1997) - IMDb","['Action', 'Adventure', 'Drama']",['LeVar Burton'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Michael Dorn']",7.6,Dax and Worf accompany Martok on his first command since being held by the Dominion. But the ship they are given hasn&apos;t seen victory in months and the crew is near mutinous.,1997-04-28,PT47M,TV-PG,https://www.imdb.com/title/tt0708603
Cold_Fire_st_v.txt,Collection: tvseries: Star Trek: Voyager,"""Star Trek: Voyager"" Cold Fire (TV Episode 1995) - IMDb","['Action', 'Adventure', 'Drama']",['Cliff Bole'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Kate Mulgrew', 'Robert Beltran', 'Roxann Dawson']",7.0,"The Caretaker&apos;s remains resonate, which might well mean that its mate is nearby. The trail leads to a space colony of Ocampa with psychokinetic powers.",1995-11-13,PT46M,TV-PG,https://www.imdb.com/title/tt0708866
Armageddon_Game_st_dsn.txt,Collection: tvseries: Star Trek: Deep Space Nine,"""Star Trek: Deep Space Nine"" Armageddon Game (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Alexander Siddig']",7.4,"Chief O&apos;Brien, who still doesn&apos;t particularly like Doctor Bashir, must rely on him when the two are stranded on a planet and O&apos;Brien is infected with a deadly, fast moving disease.",1996-04-12,PT46M,TV-PG,https://www.imdb.com/title/tt0708500
All_Good_Things_st_ng.txt,Collection: tvseries: Star Trek: The Next Generation,"""Star Trek: The Next Generation"" All Good Things... (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Ronald D. Moore', 'Brannon Braga']","['Patrick Stewart', 'Jonathan Frakes', 'LeVar Burton']",9.1,"Capt. Picard finds himself shifting continually into the past, future and present and must use that to discover a threat to humanity&apos;s existence.",1994-05-23,PT1H45M,TV-PG,https://www.imdb.com/title/tt0111281
A_Hundred_Yards_Over_the_Rim_tz.txt,Collection: tvseries: The Twilight Zone (1959),"""The Twilight Zone"" A Hundred Yards Over the Rim (TV Episode 1961) - IMDb","['Drama', 'Fantasy', 'Horror']",['Buzz Kulik'],['Rod Serling'],"['Cliff Robertson', 'John Crawford', 'Evans Evans']",8.1,The leader of a wagon train across the New Mexico territory in 1847 comes across a highway.,1961-04-07,PT25M,TV-PG,https://www.imdb.com/title/tt0734541/
Blood_Oath_st_dsn.txt,Collection: tvseries: Star Trek: Deep Space Nine,"""Star Trek: Deep Space Nine"" Blood Oath (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Winrich Kolbe'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Alexander Siddig']",7.8,Three legendary Klingons come to DS9 to see if Jadzia will participate in a blood oath that they made with Dax&apos;s previous host Curzon.,1996-06-01,PT46M,TV-PG,https://www.imdb.com/title/tt0708507
Preemptive_Strike_st_ng.txt,Collection: tvseries: Star Trek: The Next Generation,"""Star Trek: The Next Generation"" Preemptive Strike (TV Episode 1994) - IMDb","['Action', 'Adventure', 'Drama']",['Patrick Stewart'],"['Gene Roddenberry', 'René Echevarria', 'Naren Shankar']","['Patrick Stewart', 'Jonathan Frakes', 'LeVar Burton']",7.9,"Following her return from Advanced Tactical Training, Bajoran Ro Laren is sent to infiltrate the Maquis and finds herself torn between her loyalty to Picard and Starfleet, and her sympathy with the Maquis fighting &quot;the good fight&quot;.",1994-05-14,PT45M,TV-PG,https://www.imdb.com/title/tt0708757
The_Squire_of_Gothos_st_og.txt,Collection: tvseries: Star Trek: The Original Series,"""Star Trek"" The Squire of Gothos (TV Episode 1967) - IMDb","['Action', 'Adventure', 'Sci-Fi']",['Don McDougall'],"['Paul Schneider', 'Gene Roddenberry']","['William Shatner', 'Leonard Nimoy', 'William Campbell']",7.2,A being that controls matter and creates planets wants to play with the Enterprise crew.,1967-01-12,PT50M,TV-PG,https://www.imdb.com/title/tt0708478/
Shattered_Mirror_st_dsn.txt,Collection: tvseries: Star Trek: Deep Space Nine,"""Star Trek: Deep Space Nine"" Shattered Mirror (TV Episode 1996) - IMDb","['Action', 'Adventure', 'Drama']",['James L. Conway'],"['Gene Roddenberry', 'Rick Berman', 'Michael Piller']","['Avery Brooks', 'Rene Auberjonois', 'Michael Dorn']",7.1,"When the Mirror Universe counterpart of Sisko&apos;s deceased wife lures Jake to the other side, Sisko must follow and help the Terran resistance against the Alliance forces.",1996-04-22,PT46M,TV-PG,https://www.imdb.com/title/tt0708602
The_City_on_the_Edge_of_Forever_st_og.txt,Collection: tvseries: Star Trek: The Original Series,"""Star Trek"" The City on the Edge of Forever (TV Episode 1967) - IMDb","['Action', 'Adventure', 'Sci-Fi']",['Joseph Pevney'],"['Harlan Ellison', 'Gene Roddenberry']","['William Shatner', 'Leonard Nimoy', 'Joan Collins']",9.2,"When a temporarily insane Dr. McCoy accidentally changes history and destroys his time, Kirk and Spock follow him to prevent the disaster, but the price to do so is high.",1967-04-06,PT50M,TV-PG,https://www.imdb.com/title/tt0708455
