alien point of view,father and son,friendship,human vs. captivity,husband and wife,time travel,love_and_psychology
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,1
1,0,1,0,0,1,0
0,0,0,0,0,1,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
1,0,0,0,0,0,0
0,1,0,0,1,0,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,1,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,1,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,1,0
1,0,0,0,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,1
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,1,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,1,0,0,0,0
0,1,0,0,1,0,1
0,0,0,0,0,1,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
1,0,0,0,0,0,1
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,1,1,0,0,0,0
0,1,0,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,1,0,1,0,0,0
0,0,0,0,0,0,1
0,1,0,0,1,0,0
1,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,1,0,1,0,0,0
0,0,1,0,0,1,1
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,1,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,1,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,1,0
0,0,0,1,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,1,0,0,0
0,0,1,0,0,0,0
0,1,0,0,1,0,0
0,0,0,0,0,1,0
0,0,1,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,1,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,1,0,1
0,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,1,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,1,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,0,0,1,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,0,1,1
1,0,0,0,0,0,0
0,0,0,0,1,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,1,0,1
0,0,1,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,1
0,0,1,0,0,1,1
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,1,0,0
0,0,1,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,0,0,1,0,0,0
0,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,0,1
1,0,0,0,0,0,0
0,1,0,0,1,0,1
0,0,1,0,0,0,1
1,0,0,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,1,0
1,0,0,0,0,0,0
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,1,0
0,0,0,1,0,0,0
0,0,0,1,0,0,0
0,0,1,0,0,0,1
0,0,1,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,1,0,0
0,1,1,0,0,0,0
0,0,0,0,1,0,0
1,0,0,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,0,0,1,0,1
1,0,0,1,0,1,0
0,1,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0,0,1,0,1,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,1,0
0,0,1,0,0,0,0
0,0,0,0,1,0,1
0,0,0,0,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,1,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
0,0,0,1,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,1,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,1,0,0,0,1
